UniquePlayers,Year
900.0,1977.0
902.0,1978.0
898.0,1979.0
916.0,1980.0
899.0,1981.0
930.0,1982.0
951.0,1983.0
934.0,1984.0
942.0,1985.0
953.0,1986.0
972.0,1987.0
972.0,1988.0
987.0,1989.0
1028.0,1990.0
1032.0,1991.0
1005.0,1992.0
1102.0,1993.0
990.0,1994.0
1132.0,1995.0
1139.0,1996.0
1121.0,1997.0
1186.0,1998.0
1207.0,1999.0
1230.0,2000.0
1218.0,2001.0
1217.0,2002.0
1229.0,2003.0
1245.0,2004.0
1236.0,2005.0
1242.0,2006.0
1275.0,2007.0
1290.0,2008.0
1260.0,2009.0
1247.0,2010.0
1295.0,2011.0
1284.0,2012.0
1303.0,2013.0
1320.0,2014.0
1348.0,2015.0
1353.0,2016.0
1358.0,2017.0
